"statepuma","stab","pumaname","dem12","rep12","dem16","rep16","propR12","propR16","changeinR","changeinpropR"
"1700300","IL","Adams, Pike, Brown, Schuyler & Mason Counties",17307,32123,12654,36922,0.649868500910378,0.744755526867839,4799,0.094887025957461
"4501500","SC","Aiken & Edgefield Counties--Aiken & North Augusta Cities",30289,50554,29946,52867,0.625335526885445,0.638390107833311,2313,0.0130545809478666
"4806000","TX","Alamo Area COG (Northwest) & Blanco County",10656,45726,11856,48085,0.811003511759072,0.802205502077042,2359,-0.00879800968202959
"4806100","TX","Alamo Area COG (Southwest)",14157,27525,13455,30722,0.660356988628185,0.695429748511669,3197,0.0350727598834841
"2400100","MD","Allegany & Garrett Counties--Cumberland City",12929,28973,10442,32046,0.691446708987638,0.754236490303144,3073,0.0627897813155066
"0600300","CA","Alpine, Amador, Calaveras, Inyo, Mariposa, Mono & Tuolumne Counties",35540,48527,32455,50308,0.577241961768589,0.607856167611131,1781,0.0306142058425413
"1206300","FL","Apalachee Region (Outside Leon County)",38697,48378,34662,52079,0.555590008613264,0.600396582930794,3701,0.0448065743175295
"4801100","TX","Ark-Tex COG (East)--Bowie & Cass Counties",13120,33632,11229,34650,0.71937029431896,0.755247498855686,1018,0.035877204536726
"4801000","TX","Ark-Tex COG (West)",14151,40497,12329,44572,0.741051822573562,0.783325424860723,4075,0.0422736022871613
"3905000","OH","Athens, Gallia & Meigs Counties",26891,22188,21258,28485,0.452087450844557,0.572643387009227,6297,0.120555936164671
